iso_week,campaign,ad_name,spend,leads,cpl,intended_run
2025-W40,W,Womens Ad J,19.32,1,19.32,True
2025-W48,M,Mens Ad B,13.45,0,,True
2025-W50,W,Womens Ad M,141.46,2,70.73,True
2025-W52,M,Mens Ad B,128.9,1,128.9,True
2026-W02,M,Mens Ad N,72.04,2,36.02,True
2026-W03,W,Womens Ad O,69.36,0,,True
2026-W04,W,Womens Ad Q,124.08,2,62.04,True
2026-W04,M,Mens Ad J,148.53,4,37.1325,True
2026-W09,W,W 2602_4,104.0,2,52.0,True
2026-W12,W,M 2603_2,131.34,1,131.34,True
2026-W13,W,M 2603_2,3.95,0,,False
2026-W15,M,Mens Ad A,75.05,0,,True
2026-W17,W,W 2602_4,82.96,0,,True
2026-W22,W,W 2603_2,131.67,1,131.67,True
2026-W23,W,W 2603_1,125.15,8,15.64375,True
2026-W25,W,W 2603_1,6.43,0,,True
2026-W28,M,Mens Ad J,210.73,0,,True
2026-W31,W,W 2603_1,0.23,0,,True
2026-W31,M,M 2607_1,0.0,0,,True
2025-W25,W,Womens Ad C,5.11,0,,True
2025-W33,W,Womens Ad B,142.05,2,71.025,True
2025-W35,W,Womens Ad F,74.85,1,74.85,True
2025-W36,W,Womens Ad G,97.88,3,32.626666666666665,True
2025-W37,M,Mens Ad E,51.61,1,51.61,True
2025-W39,W,Womens Ad G,20.46,0,,True
2025-W46,W,Womens Ad A,27.0,0,,True
2026-W05,M,Mens Ad N,0.16,0,,False
2026-W05,M,Mens Ad O,13.47,0,,False
2026-W11,W,W 2603_2,0.0,0,,True
2026-W17,M,Mens Ad J,0.0,0,,True
2026-W19,W,Womens Ad D,32.77,0,,False
2026-W23,W,W 2605_1,130.57,3,43.52333333333333,True
2025-W25,W,Womens Ad A,115.64,3,38.54666666666667,True
2025-W34,W,Womens Ad E,80.59,1,80.59,True
2025-W41,W,Womens Ad K,11.05,0,,True
2025-W43,M,Mens Ad H,23.48,1,23.48,True
2026-W10,W,W 2603_2,98.24,3,32.74666666666666,True
2026-W12,W,W 2603_3,9.0,0,,True
2026-W13,M,Mens Ad A,155.74,2,77.87,True
2026-W13,W,W 2603_3,5.37,0,,False
2026-W13,M,M 2603_3,45.87,0,,True
2026-W22,M,M 2605_1,11.4,0,,True
2026-W28,W,W 2606_1,207.17,4,51.7925,True
2026-W30,W,W 2606_1,207.84,0,,True
2025-W34,W,Womens Ad D,62.71,3,20.903333333333332,True
2025-W46,M,Mens Ad B,13.87,0,,True
2026-W08,M,Mens Ad J,135.01,4,33.7525,True
2026-W10,M,M 2602_1,195.38,2,97.69,True
2026-W11,M,M 2603_1,188.92,4,47.23,True
2026-W18,M,Mens Ad J,0.03,0,,True
2026-W18,M,M 2604_1,200.84,1,200.84,True
2026-W20,W,W 2605_1,30.38,1,30.38,True
2026-W24,W,Womens Ad P,87.24,2,43.62,True
2026-W26,W,Womens Ad P,14.8,0,,False
2026-W29,M,Mens Ad A,4.24,0,,True
2026-W29,W,W 2606_1,195.05,2,97.525,True
2025-W31,M,Mens Ad A,54.84,2,27.42,True
2025-W32,M,Mens Ad A,30.79,0,,True
2025-W47,M,Mens Ad B,103.15,0,,True
2025-W49,M,Mens Ad J,219.39,3,73.13,True
2025-W51,W,Womens Ad M,145.59,2,72.795,True
2026-W03,M,Mens Ad A,71.27,1,71.27,True
2026-W05,W,Womens Ad Q,18.56,0,,False
2026-W07,W,W 2602_3,140.09,2,70.045,True
2026-W09,W,Womens Ad A,25.57,1,25.57,False
2026-W09,M,M 2602_1,89.94,2,44.97,True
2026-W17,W,Womens Ad A,124.95,4,31.2375,True
2026-W20,M,Mens Ad N,205.12,3,68.37333333333333,True
2026-W21,W,W 2605_1,36.14,1,36.14,True
2026-W25,M,Mens Ad A,1.72,0,,True
2026-W27,M,Mens Ad J,206.99,8,25.87375,True
2026-W31,W,W 2606_1,21.62,0,,False
2025-W32,W,Womens Ad B,61.23,1,61.23,True
2025-W36,M,Mens Ad C,29.06,1,29.06,True
2025-W38,M,Mens Ad C,17.41,0,,True
2025-W42,W,Womens Ad G,153.06,2,76.53,True
2025-W50,W,Womens Ad D,87.38,0,,True
2025-W52,M,Mens Ad A,94.5,2,47.25,True
2026-W02,M,Mens Ad A,80.73,1,80.73,True
2026-W02,W,Womens Ad N,54.7,1,54.7,True
2026-W06,M,Mens Ad O,1.82,0,,True
2026-W09,W,W 2026-W06 2,63.9,0,,True
2026-W11,W,W 2603_1,198.61,3,66.20333333333333,True
2026-W15,M,Mens Ad B,131.57,3,43.85666666666666,True
2026-W22,M,Mens Ad J,225.77,2,112.885,True
2026-W22,W,W 2605_1,113.59,1,113.59,True
2026-W26,M,Mens Ad J,209.9,0,,True
2026-W30,M,Mens Ad A,1.86,0,,True
2025-W23,M,Mens Ad A,26.34,1,26.34,True
2025-W24,M,Mens Ad B,52.65,6,8.775,True
2025-W25,M,Mens Ad B,44.64,2,22.32,True
2025-W33,M,Mens Ad A,38.05,1,38.05,True
2025-W34,M,Mens Ad B,113.34,1,113.34,True
2025-W39,W,Womens Ad I,29.23,0,,True
2025-W40,M,Mens Ad E,103.58,1,103.58,True
2026-W01,W,Womens Ad J,83.04,1,83.04,True
2026-W02,W,Womens Ad O,47.63,2,23.815,True
2026-W07,M,Mens Ad O,112.18,1,112.18,True
2026-W08,W,Womens Ad A,211.06,2,105.53,True
2026-W19,M,Mens Ad N,18.2,0,,True
2026-W25,M,Mens Ad J,203.31,4,50.8275,True
2026-W27,M,Mens Ad A,0.55,0,,True
2025-W23,W,Womens Ad B,46.97,1,46.97,True
2025-W24,W,Womens Ad B,3.5,0,,True
2025-W31,M,Mens Ad B,14.8,0,,True
2025-W32,M,Mens Ad B,58.68,1,58.68,True
2025-W38,W,Womens Ad H,73.43,0,,True
2025-W47,M,Mens Ad A,159.12,1,159.12,True
2026-W03,M,Mens Ad N,134.67,2,67.335,True
2026-W07,W,W 2026-W06 2,46.94,1,46.94,True
2026-W07,M,Mens Ad J,79.11,2,39.555,True
2026-W18,W,Womens Ad A,86.75,3,28.916666666666668,True
2026-W19,M,Mens Ad J,153.99,6,25.665000000000003,True
2026-W19,M,M 2604_1,31.18,0,,False
2026-W21,W,W 2603_2,188.08,1,188.08,True
2026-W23,M,Mens Ad J,241.69,9,26.854444444444443,True
2026-W24,M,Mens Ad J,206.67,14,14.762142857142857,True
