"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (ILS)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2026-02-26,2026-03-04,"Womens Ad A",inactive,1,actions:leadgen.other,25.57,30,Daily,25.57,1228,975,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
2026-02-26,2026-03-04,"Mens Ad J",active,3,actions:leadgen.other,35.67333333,30,Daily,107.02,10481,7102,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-18T14:12:05-0800,-,-,-,"Mens Ad Set"
2026-02-26,2026-03-04,"W 2026-W06 2",active,,,,30,Daily,63.9,5657,3368,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
2026-02-26,2026-03-04,"M 2602_1",active,2,actions:leadgen.other,44.97,30,Daily,89.94,12470,6357,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-18T14:12:05-0800,-,-,-,"Mens Ad Set"
2026-02-26,2026-03-04,"W 2602_4",active,2,actions:leadgen.other,52,30,Daily,104,10546,5299,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
