"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (ILS)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2026-04-15,2026-04-21,"Mens Ad B",active,3,actions:leadgen.other,39.51,30,Daily,118.53,11035,5757,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-18T14:12:05-0800,Average,Average,Average,"Mens Ad Set"
2026-04-15,2026-04-21,"Mens Ad A",active,1,actions:leadgen.other,102.53,30,Daily,102.53,8106,4858,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-18T14:12:05-0800,Average,Average,Average,"Mens Ad Set"
2026-04-15,2026-04-21,"Womens Ad P",active,2,actions:leadgen.other,72.53,30,Daily,145.06,8830,4809,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
2026-04-15,2026-04-21,"W 2603_4",active,1,actions:leadgen.other,63.95,30,Daily,63.95,3433,2213,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
