"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (ILS)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2026-04-09,2026-04-16,"Mens Ad B",active,3,actions:leadgen.other,43.85666667,30,Daily,131.57,13670,6320,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-18T14:12:05-0800,Average,Average,Average,"Mens Ad Set"
2026-04-09,2026-04-16,"Mens Ad A",active,,,,30,Daily,75.05,6532,4174,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-18T14:12:05-0800,Average,Average,Average,"Mens Ad Set"
2026-04-09,2026-04-16,"Womens Ad P",active,2,actions:leadgen.other,44.11,30,Daily,88.22,6324,3811,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
2026-04-09,2026-04-16,"W 2603_4",active,2,actions:leadgen.other,58.145,30,Daily,116.29,6567,3603,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
