"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (ILS)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2026-05-14,2026-05-20,"Womens Ad A",inactive,1,actions:leadgen.other,112.26,30,Daily,112.26,5980,2901,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,"Below average - Bottom 35% of ads",Average,"Above average","Womens Ad Set"
2026-05-14,2026-05-20,"Womens Ad J",inactive,,,,30,Daily,58.97,2652,1796,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,Average,"Above average",Average,"Womens Ad Set"
2026-05-14,2026-05-20,"Mens Ad N",active,3,actions:leadgen.other,68.37333333,30,Daily,205.12,13450,6681,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-18T14:12:05-0800,-,-,-,"Mens Ad Set"
2026-05-14,2026-05-20,"W 2605_1",active,1,actions:leadgen.other,30.38,30,Daily,30.38,1414,1091,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,Average,Average,Average,"Womens Ad Set"
