"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (ILS)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2026-02-12,2026-02-18,"Mens Ad J",active,2,actions:leadgen.other,39.555,30,Daily,79.11,5376,3940,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-12T14:47:29-0800,-,-,-,"Mens Ad Set"
2026-02-12,2026-02-18,"Mens Ad O",active,1,actions:leadgen.other,112.18,30,Daily,112.18,7923,4342,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-12T14:47:29-0800,-,-,-,"Mens Ad Set"
2026-02-12,2026-02-18,"W 2026-W06 2",active,1,actions:leadgen.other,46.94,30,Daily,46.94,2757,1985,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
2026-02-12,2026-02-18,"W 2602_3",active,2,actions:leadgen.other,70.045,30,Daily,140.09,8903,4405,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
