"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (ILS)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2026-04-23,2026-04-29,"Mens Ad B",active,,,,30,Daily,200.14,18740,9034,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-18T14:12:05-0800,"Below average - Bottom 35% of ads",Average,Average,"Mens Ad Set"
2026-04-23,2026-04-29,"Womens Ad A",active,4,actions:leadgen.other,31.2375,30,Daily,124.95,6981,3603,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,"Below average - Bottom 35% of ads","Below average - Bottom 35% of ads",Average,"Womens Ad Set"
2026-04-23,2026-04-29,"W 2602_4",active,,,,30,Daily,82.96,4771,2701,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
