"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (ILS)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2026-03-05,2026-03-11,"W 2026-W06 2",inactive,,,,30,Daily,0.28,36,35,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
2026-03-05,2026-03-11,"M 2602_1",active,2,actions:leadgen.other,97.69,30,Daily,195.38,23863,9513,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-18T14:12:05-0800,-,-,-,"Mens Ad Set"
2026-03-05,2026-03-11,"W 2602_4",inactive,,,,30,Daily,3.43,267,238,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
2026-03-05,2026-03-11,"W 2603_1",active,2,actions:leadgen.other,44.995,30,Daily,89.99,8518,4066,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
2026-03-05,2026-03-11,"W 2603_2",active,3,actions:leadgen.other,32.74666667,30,Daily,98.24,6024,3666,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
