"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (ILS)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2026-04-02,2026-04-08,"Mens Ad A",active,2,actions:leadgen.other,45.645,30,Daily,91.29,9756,5595,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-18T14:12:05-0800,Average,Average,Average,"Mens Ad Set"
2026-04-02,2026-04-08,"Womens Ad P",active,3,actions:leadgen.other,46.59666667,30,Daily,139.79,7950,4431,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
2026-04-02,2026-04-08,"M 2603_3",active,2,actions:leadgen.other,51.21,30,Daily,102.42,12418,5990,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-18T14:12:05-0800,Average,Average,Average,"Mens Ad Set"
2026-04-02,2026-04-08,"W 2603_4",active,2,actions:leadgen.other,30.845,30,Daily,61.69,3497,2297,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
