"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (ILS)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2022-12-01,2026-01-01,"Womens Ad F",inactive,1,actions:leadgen.other,74.85,30,Daily,74.85,2414,1562,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
2022-12-01,2026-01-01,"Mens Ad C",inactive,7,actions:leadgen.other,44.25,30,Daily,309.75,20638,7324,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-11-27T22:49:24-0800,-,-,-,"Mens Ad Set"
2022-12-01,2026-01-01,"Womens Ad G",inactive,6,actions:leadgen.other,61.545,30,Daily,369.27,14614,6094,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
2022-12-01,2026-01-01,"Mens Ad D",inactive,1,actions:leadgen.other,95.37,30,Daily,95.37,5302,2686,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-11-27T22:49:24-0800,-,-,-,"Mens Ad Set"
2022-12-01,2026-01-01,"Mens Ad E",inactive,2,actions:leadgen.other,105.345,30,Daily,210.69,11901,5356,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-11-27T22:49:24-0800,-,-,-,"Mens Ad Set"
2022-12-01,2026-01-01,"Womens Ad H",inactive,,,,30,Daily,146.13,6476,2850,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
2022-12-01,2026-01-01,"Womens Ad J",inactive,3,actions:leadgen.other,73.09333333,30,Daily,219.28,11363,5255,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
2022-12-01,2026-01-01,"Womens Ad I",inactive,3,actions:leadgen.other,72.96333333,30,Daily,218.89,9871,4127,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
2022-12-01,2026-01-01,"Mens Ad F",inactive,1,actions:leadgen.other,105.02,30,Daily,105.02,6513,3990,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-11-27T22:49:24-0800,-,-,-,"Mens Ad Set"
2022-12-01,2026-01-01,"Mens Ad G",inactive,,,,30,Daily,118.94,5753,3390,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-11-27T22:49:24-0800,-,-,-,"Mens Ad Set"
2022-12-01,2026-01-01,"Womens Ad K",inactive,,,,30,Daily,54.76,2305,1566,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
2022-12-01,2026-01-01,"Mens Ad H",inactive,2,actions:leadgen.other,103.24,30,Daily,206.48,13834,5603,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-11-27T22:49:24-0800,-,-,-,"Mens Ad Set"
2022-12-01,2026-01-01,"Mens Ad I",inactive,,,,30,Daily,1.27,86,79,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-11-27T22:49:24-0800,-,-,-,"Mens Ad Set"
2022-12-01,2026-01-01,"Mens Ad J",inactive,8,actions:leadgen.other,50.67875,30,Daily,405.43,22302,8565,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-11-27T22:49:24-0800,-,-,-,"Mens Ad Set"
2022-12-01,2026-01-01,"Mens Ad K",inactive,,,,30,Daily,131.84,7281,3572,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-11-27T22:49:24-0800,-,-,-,"Mens Ad Set"
2022-12-01,2026-01-01,"Womens Ad L",inactive,1,actions:leadgen.other,147.46,30,Daily,147.46,5675,3222,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
2022-12-01,2026-01-01,"Mens Ad M",inactive,4,actions:leadgen.other,71.455,30,Daily,285.82,15439,6816,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-11-27T22:49:24-0800,-,-,-,"Mens Ad Set"
2022-12-01,2026-01-01,"Womens Ad M",inactive,4,actions:leadgen.other,70.4575,30,Daily,281.83,11903,5128,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-18T01:16:05-0700,-,-,-,"Womens Ad Set"
